indice;250;500;1000
IMC;1554;793;412
IOD;437;265;156
ICP;37;25;18
IGC;2;3;2
IGQ;84;58;35
IGF;1232;630;336
ICS;474;335;224
IDE;1554;793;412
ICG;1291;667;358
VCG;1554;793;412
PIG;1497;768;401
